0,-0.0048828125,0.9033203125,0
0.1,-0.0048828125,0.9033203125,0
0.2,-0.0048828125,0.9033203125,0
0.3,-0.0048828125,0.9033203125,0
0.4,-0.0048828125,0.9033203125,0
0.5,-0.0048828125,0.9033203125,0
0.6,-0.0048828125,0.9033203125,0
0.7,-0.0048828125,0.9033203125,0
0.8,-0.0048828125,0.9033203125,0
0.9,-0.0048828125,0.9033203125,0
1,-0.0048828125,0.9033203125,0
1.1,-0.0048828125,0.9033203125,0
1.2,-0.0048828125,0.9033203125,0
1.3,0,0.9033203125,0
1.4,-0.0048828125,0.9033203125,0
1.5,-0.0048828125,0.9033203125,0
1.6,-0.0048828125,0.9033203125,0
1.7,-0.0048828125,0.8984375,0
1.8,-0.0048828125,0.9033203125,0
1.9,-0.0048828125,0.9033203125,0
2,-0.0048828125,0.9033203125,0
2.1,0,0.9033203125,0
2.2,-0.0048828125,0.9033203125,0
2.3,-0.0048828125,0.9033203125,0
2.4,-0.0048828125,0.9033203125,0
2.5,-0.0048828125,0.9033203125,0
2.6,-0.0048828125,0.9033203125,0
2.7,-0.0048828125,0.9033203125,0
2.8,-0.0048828125,0.9033203125,0
2.9,-0.0048828125,0.9033203125,0
3,-0.0048828125,0.9033203125,0
3.1,-0.0048828125,0.9033203125,0
3.2,-0.0048828125,0.9033203125,0
3.3,0,0.9033203125,0
3.4,-0.0048828125,0.9033203125,0
3.5,-0.0048828125,0.9033203125,0
3.6,-0.0048828125,0.9033203125,0
3.7,-0.0048828125,0.9033203125,0
3.8,-0.0048828125,0.9033203125,0
3.9,-0.0048828125,0.9033203125,0
4,-0.0048828125,0.9033203125,0
4.1,-0.0048828125,0.9033203125,0
4.2,-0.0048828125,0.9033203125,0
4.3,-0.0048828125,0.9033203125,0
4.4,-0.0048828125,0.9033203125,0
4.5,-0.0048828125,0.9033203125,0
4.6,-0.0048828125,0.9033203125,0
4.7,-0.0048828125,0.9033203125,0
4.8,-0.0048828125,0.9033203125,0
4.9,-0.0048828125,0.9033203125,0
5,-0.0048828125,0.9033203125,0
5.1,-0.0048828125,0.9033203125,0
5.2,-0.0048828125,0.9033203125,0
5.3,-0.0048828125,0.9033203125,0
5.4,-0.0048828125,0.9033203125,0
5.5,-0.0048828125,0.9033203125,0
5.6,-0.0048828125,0.9033203125,0
5.7,-0.0048828125,0.9033203125,0
5.8,-0.0048828125,0.9033203125,0
5.9,-0.0048828125,0.9033203125,0
6,-0.0048828125,0.9033203125,0
6.1,-0.0048828125,0.9033203125,0
6.2,-0.0048828125,0.9033203125,0
6.3,-0.0048828125,0.9033203125,0
6.4,-0.0048828125,0.9033203125,0
6.5,-0.0048828125,0.9033203125,0
6.6,-0.0048828125,0.9033203125,0
6.7,-0.0048828125,0.9033203125,0
6.8,-0.0048828125,0.9033203125,0
6.9,-0.0048828125,0.9033203125,0
7,-0.0048828125,0.9033203125,0
7.1,-0.0048828125,0.9033203125,0
